,Dates,Ratings,Titles,Bodys
574,2019-11-20,4,good washing machine,good washing machine at this price range....
575,2018-11-16,4,Worthy buy,Good product and great discount. Need to see the machine works in the long run..it's works well now...
576,2017-10-10,4,Very happy with the built quality,Very happy with the built quality. Noise level is pretty less as compared to other washing machines. Very happy with Bosch..... Suits its reputation of being the best manufacturer of washing machines.
577,2019-11-13,5,Good product,"Overall the product is good, the clothes washed are quite clean. An observation, the noise which machine makes is quite significant, but i guess that is understandable considering the RPM it rotates at."
578,2019-05-19,5,Excellent product,"Next day delivery in Bhopal.Low noise, very easy to use and value for money especially when you buy during sale.Good installation services provided by Bosch and Bosch representative was cordial.Wash quality is really good."
579,2020-10-15,5,Very Good product,"Bosch delivers! its s fine machine, very happy with the purchase, no complaints yet :)"
580,2021-05-26,5,Exallent,Exallent
581,2020-09-30,5,Nothing,"Amazing product, overall I am satisfied with product. It has done clean wash and fully dry."
582,2019-11-16,4,Bosch Washing Machine,"Noise level is low, easy to use."
583,2020-11-21,5,Best in segment,This is same 4th washing machine in my familieThis best in segment
584,2018-10-30,5,Affordable front load washing machine.,After 15 days uses I am writing review.  Very good front load washing machine and i  am rating for 5 🌟 comparison to other company cheap and affordable. At present work veey well. Aerial matic very best for wash quality.
585,2020-12-11,5,Great product,"Great product, worth money, low noise level and easy to use"
586,2019-11-12,4,good,a little bit noise during drying cycle.
587,2021-01-05,5,Good product,Overall it works good so far so good
588,2020-08-08,5,Aswesome machine..Value for money...,Awesome product..its a beast...i have used many washing machines but this one is awesome.. washes the clothes very neat..
589,2020-10-15,5,Great product from Bosch!!!,Great product.. No issues after using for more than 3 years.. Still work like new product..
590,2020-01-14,1,Dont fall on brand name!,"Dont buy this product looking at the brand name like what i did.  Definitely Bosch is a reputed company but their washing machine is too poor,i dont know whether its this particular model or their whole washing machine range.What made me give a review like this is, it ""doesn't make the clothes clean"" and moreover the clothes looks dull after wash. I previously had a basic onida washing machine which was some 10K...and then i wanted washing machine with inbuilt heater for more hygienic wash,so looking at the brand name,i picked this one. Now im terribly disappointed that it doesn't even remove basic stains. The only thing which is better is lint free and thats all. Please go for any IFB washing machine,i personally know people who have been using IFB washing machine for more than 9 years..it still functions like brand new. Dont fall for any brand names!"
591,2020-09-25,5,Super duper product,"Stunner. Love my first Bosch product. Elegant n user friendly. For set up, professionals are required."
592,2022-08-20,1,"Very bad product, totally wastage of money and time","Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 Too much noise and while spinning it is shaking so much."
593,2019-12-10,5,Nyc machine  but Poor Service,"The machine is nice, very gentle to clothes. But installation is worrisome atleast in my city AMRITSAR.  Getting it installed was a bitter experience......not upto the standards of Bosch"
594,2019-09-11,4,need service from nearest centre,we need drum cleaner for Bosch washing machine
595,2019-11-02,4,Good product,Good product but installation charges are high
596,2019-11-20,5,Great machine,It works very well until now. Easy to use. Various modes.. hardly any sound but a bit vibration esp on drying mode. Hope it will run long enough to meet expectations
597,2020-10-07,5,Bosch washing mc robust long durability.,"Eco friendly, heavy in weight, robust, good visible switch for use of different cloths ."
598,2019-01-09,4,Good one,Have received good product and worth for money. The only issue with the courier service.
599,2019-01-30,5,Works just perfectly!,The machine just works perfectly. Been using semi automatic & top load machines. Front loads are much better in terms pf efficiency & cleaning. Be sure to use matic detergents for better cleaning & better drum life.
600,2018-11-14,5,Amazing machine from Amazon,"- unlike another competitor, Amazon provided a seamless delivery and installation, I'm impressed.- This machine is a monster, does the washing and drying well, could feel the German precision.- don't have a second thought, go for it"
601,2021-04-04,5,Good,Nice product excellent
602,2020-06-19,1,"Home delivery and damaged , missing item, installation","Delivery by deliveryart is very bad.my Flat  is on 3rd floor , the home delivery refused by delivery boy on 3rd floor,he told me to where is facility of lift. So he force to me to collect the product at parking zone or arrange to coolie.After discussing with other local Amazon delivery boy, he is ready to deliver product with the help of other 2 people. Then with the help of  friends the  home delivery done .  Also received boot material in damaged condition.only 3 boots received to me.  Moreover, received machine on 12 june ,but till as on no any technician came for installation. Now 10 days completed, but installation not done.I will give another review after installation of machine"
603,2016-09-27,5,"Too old, get the new",Nothing wrong with the product (see the 5 stars?)... But I am just letting you know that this product was releases in Oct 2014. Newer Bosch products are lesser power consuming and more quiter. Although at least 6k to 10k costlier than this one here. Amazon does run heavy discounts on the newer products from time to time: I'd suggest you grab them then.
604,2019-10-26,4,Worthy,Nice product value for money. Prompt delivery
605,2020-01-25,4,Value for money,Good product from bosch
606,2020-06-15,5,Excellent,The machine is very good. The service for the installation  was good and immediate. We are overall happy with the buy.
607,2019-11-06,4,Ok Good,Bosch service is worst for installation.
608,2019-08-07,5,The best washing machine,Bosch washing machine taken 3 months back.. No noise and washes clothes good..Make sure you add warranty cost I suggest u to take it with extended warranty otherwise it will Cost more later..
609,2019-07-17,5,Best front load washing machine in this price range,Its really really good....my mother is using it for last 7 to 8 months....and trust me she is very happy....no irritating sond....less power and water consumption....Just go for it....don't think allot
610,2017-11-07,4,"Nice product, gets the work done","Nice product, gets the work done. Only complaint is the timer shows inconsistent remaining time in some of the wash programs. Did anyone else notice this anomaly ?"
611,2019-03-02,5,Excellent product...,"Machine is working very well, low noise , heavy body, but you need a 3by4 adapter for installation which you can get in your local market...Don't throw out the carton as you can make a good cover for the machine,, look at the picture attached,"
612,2018-11-29,4,Good in performance,"this machine is very good in operation. cleanliness is high, sound/noise is low. but very bulky."
613,2019-10-12,4,Good,Good washing machine but vibration on spinning
614,2019-02-16,4,Bosch is 👍,I received this product in mentioned time and it’s completely worth for money
615,2022-05-21,1,Faulty motherboard,Bosch rating  : 0Amazon rating  : 5Washing machine did not start. Motherboard was faulty. Amazon did great job in returning the machine quickly and refunding. I have now ordered Samsung  WW80T504DAB1TL.
616,2021-02-16,5,Performance is top notch.,Top class performance that's it.
617,2020-11-22,5,superb,Zero noise level super silent excellent wash fully satisfied
618,2021-01-03,5,Great purchase,Low noise level. Good cleaning. Great purchase.
619,2018-11-28,2,Decent but not great,I was happy with it initially but after a couple of months it started showing its try colours every time showing error etc. just a year old and issues galore.Earlier I had a IFB and used it for 10 years with not any issue any time during these ten years. Had to scrap it as it became a little over used and rickety.Please make a proper choice and ensure you compare a few machines before making a choice. These don’t come cheap and a lot of money hoes into buying these machines.Good luck on your purchase!
620,2017-09-24,5,Washing machine is excellent..,Washing machine is excellent... we have never used washing machine before based on the review and lighting deal we grab it for 28K installation guys installed and configured the product well... although the product demo was not professional...cloths get clean 100% but not 100% dry... just go for it..
621,2020-10-29,5,Very Good,Machine is very good. Just demo not given by installation person.
622,2017-03-04,4,nice washing machine..works perfectly with low sound,nice washing machine..works perfectly.but the installation boy charged more for pipes and cleaning powder those are available in local market at 350(pipe) but he charge 1050 for that.its too much.overall satisfied with the product except installation .
623,2019-01-06,4,Recommend it to others,Good product initial had some problem due to improper installation but now working fine
624,2019-07-28,5,Great. No Vibration. Better than Senorita IFB,"Great Product. No vibrations while spinning. Had a IFB Senorita before this, and Bosch is way better.Cleaning good. Build quality good. Using without stand, working great from last 2 months."
625,2020-03-03,4,Review,Good machine
626,2019-07-15,3,Demo problem,"Machine is good but time of installation so let and installation person was un knowledge, he not given proper demo and not explained everything.he finished everything within twenty minutes."
627,2019-02-20,5,Very Good Product,"Good wash quality, Nice product received, its been 5 moths now working fine.Good customer care response, they have installed the product at my home (3rd floor with no lift facility) in no additional cost."
628,2019-09-30,4,Value for money,Service is good and easy to use
629,2020-11-25,5,Very good product,Very good product using from last 18 months without problem
630,2020-07-17,1,Cloudtail and Amazon cheated me with this ₹30000 machine.,"I've bought model WAK24168IN. On Amazon it claims the programs such as Allergy Plus, Hygiene, Super Clean, Drum Clean. But what I got is the same model without these programs. Doesn't Amazon's own Cloudtail cheated me, with a mediocre model version. I researched and bought Bosch WAK24168IN based on these important features. Installation is still pending, don't know what more surprises, hope Cloudtail wouldn't have removed the components also. I could return, but carrying 2 floors of this heavy metal up and down without a lift refrain me from doing it. They also not delivered the filter, which is supposed to be part of the pack. Need to spend another ₹500 for the same. Cloudtail and Amazon are equal culprits."
631,2020-03-01,4,Value for money,Good product
632,2021-02-07,5,Highly addictive,Best washing machine.. Highly recommended..
633,2017-04-07,5,very good washing machine,"very reliable machine best quality.. value for money.. does not vibrate or move. make very less noise. more importantly does its job very well.amazon delivery was quick and so was the installation. just had to buy 300 adapter for water supply, but its better than paying thousands extra for the machine at local any local shop."
634,2021-01-07,2,Noicy but does it's job,"- Had to install it myself during lockdown, Bosch executive visited after few weeks and verified the installation- Washing is satisfactory- Noice level is high in spin cycle, it also vibrates a lot during this cycle which is not good for motor in long term."
635,2020-08-29,5,Lol,"I thought this product is on sale ,later it was reduced even lower don't buy in sale"
636,2018-05-15,5,Hope installation is done fast.,Product delivery was on time. But they delivered in front of my home (ground floor).they refused to bring the product on 1st floor. It's heavy and so felt difficult to carry it in the 1st floor.till now no installation call .even after 72 hours of delivery.
637,2017-10-08,5,"Good Product, experience with seller was very good","Good Product, experience with seller was very good, on time Delivery well Handled.But not happy with Bosch service, it has been more than 10 days & installation still pending from Bosch service end, no use following up with them and even escalating. that to in Bangalore."
638,2015-07-29,5,A very good buy..!! A neat wash.!!,The product was promptly delivered. The service engineer sold the washing machine cover as well. I was needing it anyway.Performance is fabulous. Not noisy. during dry cycles the noise increases but it is not irritating. feels as if a jet is taking off in your backyard.I have tried 3 different wash cycles from light to heavy clothes. the condition of the fabric is much better in this compared to my old washing machine.
639,2021-04-19,5,Nice product,Nice
640,2018-12-16,5,1 year and going strong!,It's been a year since I bought this machine and I must say it is pretty awesome!! Low in sound and efficient! True to the German engineering standards of Bosch!  Washes and dries clothes pretty well.
641,2019-10-11,4,Good except installation by Amazon finally Bosch installation had come before Amazon installation,Except installation all others are good.
642,2018-10-16,4,Unsatisfied for installation service,Machine is good but bad Service for installation. Technician do not have knowledge of machine.
643,2018-08-30,4,Awesome product a must buy,Awesome machine ... Best ...worth every penny ...very simple to use ... Makes no noise at all
644,2016-10-31,5,Simply Awesome Washing Machine... 5 Star Performer,"Simply Awesome Experience... This would be my first fully automatic washing machine & found this product is flawless. Drum is bigger than any machine in this segment, very low noise while running, no vibrations, uses low water consumption, clean clothes perfectly, no soap residue remain in clothes.Definitely recommend this product with 5 Star Rating Performance Overall."
645,2016-09-25,5,Just go for it,"My first automatic washing machine. The best washing machine in the market.  I have gone through all the reviews on the internet and visited various sites to see the comparison.  It comes with 10 years warranty on the motor, which is very good.  I preferred it over IFB.  Using it for last  one week. The washing quality is very good."
646,2019-11-08,4,Good,Value for money clean wash
647,2018-03-01,5,but trust me this is one of the best Washing machines around,"Had IFB automatic front load for about 10yrs. Was reluctant to go with Bosch, but trust me this is one of the best Washing machines around. The controls are easy to operate. Almost nil vibration and even at 1200rpm runs very silent and smooth. Very happy with the performance."
648,2019-10-15,5,Super choice,"The product was awesome.. delivered in good condition at right time.. The most important thing is the noise level, it was very low..it won't wake my baby up 😊"
649,2016-10-05,5,super delivery by amazon,"Bought this from amazon, super delivery by amazon. As name stands ""Bosch"" looks very good and robust, support person from the company as really clam and presentable, though they tried to cross sell some of the products, but thats ok, everyone some extra penny.Overall good product, really very good. if someone is looking, best buy, at this price."
650,2019-11-08,4,Good product,As of now working well
651,2018-04-05,5,Good Quality in every aspect and robust mottor,"Good Quality in every aspect and robust mottor, It handles a heavy cloths cloths well when added more than limit, A tough machine and keep rpm at lower level like 800 or else cloths may impact dueto its heavy duty and no noise"
652,2021-03-20,5,Na,Low noise
653,2020-11-28,5,Very Good product,Bosch7kg Touch panel is a very good product.
654,2019-03-19,5,Indian,"Very good washing machine. Quite heavy which shows how stable it is. Also after reading the manual I got to know about its many other functionality. So those getting this, please do read the manual."
655,2020-09-23,5,Bosch washing machine 7 kg Fully-Automatic Front Loading,BOSCH Machine is good and it perfectly doing the job. Amazon delivered on time
656,2020-03-07,4,Good,Good
657,2019-09-04,4,Best washing machine in front load,Superb washing machine for small family
658,2020-10-13,5,It's perfect and best of all.,In my view it's perfect on till experience at present
659,2020-11-25,5,Excellent Product & Excellent Product Delivery by Amazon,Excellent Product & Excellent Product Delivery by Amazon
660,2021-07-07,5,Good 👍,"The media could not be loaded.
                



 Good product 👌👍"
661,2020-08-07,5,Superb performance,Very happy with the machine. Noise free and  very good washing results. Got a good deal.
662,2017-07-24,4,Good Product,I purchased it very recently hence can't comment much. With electronics it's only after a point in time that we can comment on the performance. The service was good.
663,2020-03-02,4,Good product,Good
664,2020-12-06,5,Bosh superb wash.......,Best washing machine at this price range
665,2019-11-04,5,Overall its a 5star product,"Product is awsme, but one issue is temperature. In all wash programme water temp(variable) is fixed, hence for heater always used for every wash in this model."
666,2021-04-18,5,Best Buy,"The media could not be loaded.
                



 Very quite , very efficient & reasonably priced"
667,2019-11-16,4,Good choice.,Super on all three counts.
668,2020-08-16,5,Very good product,Not a single problem till now. It's been more than 1 year. Loved the quality.
669,2021-03-14,5,Excellent,Excellent product
670,2019-11-14,4,Awesome,Noise level low good product
671,2020-03-08,5,Bosch fully automatic washing machine.,Awesome product. Very easy to use and noise level is almost negligible. Very elegant looking. A most choiceable washing machine gives value for money.
672,2020-03-02,4,Very nice,Good
673,2021-02-04,5,Buy it for medium range usage,Value for your money
674,2020-07-25,5,Easy to use and Best,"using it from 1.5 years, everyday I use almost twice because of my kids and working great"
675,2020-07-01,1,Faulty product delivered,"This product was delivered on 18th and on 26th when I used it first time it was found to be faulty as after the program ends it is giving me wet clothes with soap also in the clothes. I immediately informed the service engineer who came to install the Washing machine and he assured me to come on Monday i.e 29 th of June which was the final day of return window closure ,and I called him on Monday and Tuesday i.e yesterday and today also and finall he came today and informed the product is faulty and need some spare to be changed. Now why should I accept a product which is already faulty. So pls get it replaced on immediate basis."
676,2020-08-08,1,Different features from product mentioned on Amazon,"Product features not matching with the product mentioned on Amazon ..though model no. Is same WAK24168IN. Kindly find attached photographs of machine I received . And you can compare this with the product photos given on amazon. functions are different. There is no hygiene function. There is no saree function and no drum cleaning at 90 degree. Don't bye this from Amazon..it's impossible to talk to customer care of Amazon or seller who sold you this product, Cloudtail india. I am left with only  option of accepting whatever I received and be happy with whatever I received. Well machine yet to be installed. So can't comment on its performance at present."
677,2020-11-08,5,Worthy possession,A very good product I am proud of using
678,2020-10-05,5,Bosh stands up all the way,"Except for a little noise, gets the job done perfectly."
679,2019-01-03,5,Great product at a very competitive price,Product quality is really good. Installation was up to the mark but there is a small product for which you will be charged additional 200 bucks during installation. Delivery service from Amazon was swift.
680,2020-03-17,5,Very well packed and very well delivered,"One can find the product features and benefits in google. Very easy to use, and Hassel free.Amazon delivery was perfect, on time, intact."
681,2019-11-11,4,Good,Noise level little bit high
682,2021-02-01,5,Excellent,Excellent performance and silent
683,2020-01-28,4,Very nice below,Very nice
684,2019-07-07,4,Noise level not low,Noise level was not low.it makes sound
685,2021-02-10,5,Value for money,Value for money
686,2020-07-19,1,Highly unsatisfied!,"I have bought this machine last week, i am highly unsatisfied with this product as in the mix load cycle that claims clothes will be washed in 44 mins - it always take 1.5 hours for machine to complete that - and twice all the detergent was floating in the water even after 1.5 hours. Apart from this, twice it completed the cycle in 1.5 hours and all the clothes were completely wet - that is it dint dry the clothes at all ! Its total wastage of myMoney- i feel i would have invested in LG and would have got far better product that this."
687,2019-11-06,4,Value for money,Till Now all well.
688,2020-12-21,5,Till date it meet my expectations.,Noise level and easy to use
689,2020-10-30,5,Awesome,Overall performance is awesome. No vibration. Less water usage.
690,2020-04-07,5,All over machine is very good,The only thing I dislike about the machine is water pressure level ....it do not operate in low water pressure and error occurrs
691,2018-11-19,4,Good product,Good product...Delivery and installation was prompt and good experience. Thanks Amazon
692,2019-01-25,1,Defective Bosh Product and Pathetic Bosch Customer Service,"The machine is faulty - although the power is on it won't work at the time of product demo.Called up the Bosch customer care and their first reaction was denial of services insisting that someone from Amazon should do the needful since the product was purchased from their platform. On further insistance, they told us that we would be getting a call from the nearest service centre immediately. Unfortunately it is well past 2 hours and we are yet to receive a call. Apparently the service centre executives only work between 11 AM to 7 PM on weekdays!Thoroughly disappointed with the ""Bosch Experience"" - so unbecoming from a German firm. Hope the guys at Amazon make up for it!"
693,2020-11-19,2,Beware of,Machine is working fine. The machine came without stand. But the person who came for installation sold machine stand at inflated price. Once he installed the stand he told us price.  They will give offer many thing to buy. Pls buy them from any online site.
694,2020-03-03,5,Bosch is good.,I was using an IFB front loading for a couple decades.Too early to say much about it but so far real good.
695,2019-12-01,5,Bosch is boss,"Really grate product,properly delivered by Amazon,But service providers are not cooperating as per our acceptation, need to sqez them.Value of mony product"
696,2019-02-24,4,Heavy duty,Good..but u should purchase new stand..existing one will not fit
697,2018-01-09,4,lacks a few features like running only dryer without washing,"Basic model from Bosch, lacks a few features like running only dryer without washing. Would recommend to go for the higher model."
698,2019-08-20,4,Germans hatsoff...,Bosh the name says it all
699,2017-03-13,4,Nice product with missing attachment,"Product looks good but not happy with the guy who came for demo. He also sold me adapter for Rs 300. Just thinking why bosh doesnt provide this along with the product,it should have been there."
700,2019-06-22,4,Easy to use,Easy to operate without causing much noise
701,2020-10-24,5,Worth buying,I really a best washing machine in all aspects.
702,2016-10-19,5,An A1 quality ultimate washing machine,"Bosch gives an ultimate cleaning at every instant. German company, robust build quality, several prospective programs which are really enhancing to be fortified as per fabric selection.. Thanks to amazon for providing an such beautiful product as an lighting deal. I brought product for best price in industry.  I cant even ask for more"
703,2020-08-22,5,Best Quality/Performance & Value for Money,Using it from last 4 years without any issues. Best in the given segment.
704,2019-11-17,4,Good to go,It's good to go.
705,2019-07-27,5,Great product,"Absolutely hassle free ...I moved from semi - automatic to fully automatic and it’s fill it , switch on and forget it... an easy product to operate"
706,2019-11-15,4,Better than IFB,Still noise is there
707,2020-11-05,1,The Exchange program is a scam!,"The whole "" Buy with exchange"" thing is a scam. They lure customers by offering them attractive exchange offers but at the time of picking up the older machine, they come up with some excuse to not pick it up. This is despite the machine being in full working condition and no damages. They look for some spot of rust / wear and tear on the outer body and claim that this cannot be picked up for exchange.So, when buying the machine, do consider the fact that the exchange offer will not work out in most cases."
708,2021-03-06,5,👍,👍
709,2017-10-23,4,Good product. Extremely low noise,Good product. Extremely low noise. I liked it and will definitely recommend to my friends. Extended warranty certificate not yet reached me so far!
710,2021-01-27,5,Good product on a budget,Really good product
711,2017-02-19,5,but it was prompt and perfect. Previously had top load washing machine,"The name stands for it..... Doubtless its a BOSS.. initially had a doubt about the installation and service(in Chennai), but it was prompt and perfect. Previously had top load washing machine, we never seen a clean collars, may be it's because of Front load or BOSCH. Happy to be part of BOSCH."
712,2020-12-31,1,Worst after sales services ever! Don’t buy Bosch as repair parts are not available!,Writing the review after 2 months. Machine stopped working and the service engineer is delaying the visit. It’s really suppressing to see such degraded service from Bosch. I will not suggest anyone to buy Bosch products now on.Its been 15 days and the machine is still not fixed. No one provides update about the availability of the parts. You need to follow up with them and even Area Manager or Regional Manager can help in any way.It’s worst decision of my life to go for a Bosch product.
713,2017-10-15,5,Bosch: Always trust the Germans when it comes to Engineering,"Firstly amazing service by Amazon...Ordered the Machine at 12.05am on Saturday..machine was delivered and installed next day on Sunday by 2pm.The machine comes with a host of options for washing different materials of clothes...Will update shortly regarding the wash quality, efficiency etc."
714,2021-11-18,1,"""WASTE OF MONEY""","Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 3 years old mother board short. Ready to technicians. Two days later. To machine start drum run for ovality and friction for front door rupper melt and firely. Company not claimed warranty. Because company warranty for one year. Please do nod purchased for brand of ""BOSCH""."
715,2019-11-13,4,Operation,User friendly product
716,2019-11-12,4,Vey good,Very good product
717,2020-12-17,5,It's a good buy.,It was a good buy!
718,2019-11-11,4,Good product,Like this product
719,2019-11-10,4,Worth for money,Its good ..
720,2019-11-10,4,nice,value for money
721,2018-05-19,5,Good product from Bosch,"So far it’s all good, not much noisy, less vibrations...etc.What could have been improvised is after wash dry which is in the range of 60-70% (depends on type of cloth, like jeans and all are 50% dried)."
722,2019-11-13,4,it is very good,Value for money
723,2020-01-26,4,Performance,Recommended
724,2019-08-21,4,Good one,It consume lot of water
725,2018-09-13,5,Very good machine,Works very good. Go for it without any second thought.I brought this for 1200 rpm so that the clothes can almost come out dry. all features are very good. Machine looks great and workl without much noise
726,2020-10-23,5,Great Product and Service,Great Product with Good service followed by Delivery.
727,2019-11-07,4,Awesome,Very very nice
728,2021-02-06,5,High Quality,High quality
729,2019-01-15,5,Nice product,"Delivered on the same day, it was mentioned. Installation and demo happened on the next day of delivery without any follow ups. If found any issue about product, will update here"
730,2019-11-03,4,Okey nog good features,Woroth for money
731,2017-08-21,5,Check your water pressure !!!,"Was excited with the purchase,However, this one has strict water pressure requirements to operate, so unless u get roughly 9-10 Liters/min on the tap do not buy it.Mine got returned even before installation, first thing technician checked was water pressure (7 Liters/min) and that's it :("
732,2020-11-19,5,Value for money,"Got it in festival offer (RS.22,800)"
733,2015-05-21,5,Over all experience with amazon and seller is good. Product is very good and my wife like ...,"Washing machine was well packed and delivered on time. Amazon has registered for demo on my behalf to bosch, Demo has been provided by Bosch. Over all experience with amazon and seller is good.Product is very good and my wife like a lot, Washing quality is very good.  very low noise, no vibration at all.  Water consumption is minimal. I liked the product"
734,2020-02-08,5,working very good so far.,working very good so far.only customer care is not so much friendly. but fortunately not any major issue so far.
735,2019-10-28,4,Good deal,Value for money
736,2019-11-22,4,Nice product,Sound bit more...
737,2020-09-24,3,Good,Good
738,2018-08-03,3,Slow and time consuming installation. Quick delivery. Excellent machine.,Time consuming installation. What’s the point of buying online if we have to wait for 4-5 days for starting machine especially when you have given away old machine. Good washing machine though. Hope service is better than installation.
739,2019-09-17,5,Very Good product,"Very Good product. Its working fine.For installation, I had to wait for more than a week, since my location is a remote place."
740,2018-11-21,4,Very nice product,"Working fine till now using it from last one month,no problem yet"
741,2019-09-27,4,Good,Vibration is little more
742,2017-05-03,5,nice hassle-free low noise product,"very happy with product. very low vibration/noise. Amazon did fast delivery and bosch technician arrived same day.only recommendation to bosch is to provide the connector also when we buy such expensive equipment, the technician charges 300 bucks for something that may be available in marked for 100 rs"
743,2020-12-19,5,does it job perfectly,Works like a charm
744,2020-10-29,5,"Value for money, loved it",Worth of money good service from BOSCH
745,2021-01-06,5,best washing machin,value for money
746,2019-12-12,4,Value for money,gud buy
747,2019-06-12,5,Product quality and service,"The product quality and noise levels are pretty good and the installation was smooth. It has been more than a month, and no major flaws observed."
748,2020-09-26,5,"Excellent product , happy after use of 3 months","Excellent product , happy after use of 3 months"
749,2017-11-19,5,Excellent!!,"Like others have said already, the only problem with is the installation process. Have to constantly follow-up to get it done. But the machine is just brilliant. Almost no sound even at full speed. Clothes come out really fresh and clean!!! Very happy with this product."
750,2020-08-24,5,Bosch washing machine,Washing machine is very good but installation service is very bad
751,2017-10-24,4,Washing machine is good but installation and demo time is poor,Washing machine is really good and nice but the installation and demo time from Amazon is very very poor and bad experience
752,2019-04-17,4,Very good washing machine at reasonable price,Superb and does the work very silently.
753,2021-01-03,5,Good product...,Value for money...
754,2022-03-30,1,Worst Amazon customer service,Don’t buy this product . There is no customer support from either Amazon or Bosch. Amazon customer service asked me to call brand and set up installation . Bosch customer service number are incorrect and not in service
755,2021-02-09,5,Must buy,Lovely
756,2019-11-13,4,Good one,Good one
757,2019-12-05,5,Nice,"Nice washing machine , my family is happy . I would suggest contact to bosch directly for installation and demo ."
758,2020-09-19,5,German brand and quality,Very simple and easy to operate.Heavy in weight.
759,2019-09-17,4,nice performance,it is working fine
760,2019-11-10,4,Good working,No negative
761,2019-11-10,4,Quality Product,Good producy
762,2020-11-24,5,Bosch is best,Noise level is too low
763,2015-12-23,4,Overall..a good product.,"The product was delivered on time by Amazon. Installation was also on time. I like the machine and used it a couple of times. However, it seems this machine needs some minimum water pressure. For some reason, the daily wash takes more than 45 minutes. Less noise."
764,2021-02-06,5,Good product best price,Good
765,2018-11-24,4,Product is good,Product is good and washing cuality is also good.Thank Amazon
766,2018-01-07,4,Four Stars,Working fine till date. Only issue is m/c is too heavy to move in case you wanna move it.
767,2020-09-18,5,Good value for money machine,Low noise level. Great instalation service. Value for money
768,2016-10-11,5,Excellent delivery; Timely demo.,"Ordered on 5th October, package delivered on 7th and Bosch technicians for demo and installation came on 9th October. What an amazing experience both from Amazon's end and Bosch's end.Won't talk much about the product as I've used it only once. But ordered this washing machine only after checking reviews."
769,2019-10-14,4,Nice product,Value for money
770,2020-09-02,3,Sam,Ok
771,2020-10-15,5,Perfect buy,Bit noisy but overall performance is excellent.
772,2021-01-14,5,Good,Nice product
773,2020-10-31,5,Value for money,Very good product value for money
774,2019-04-01,5,Awesome product,I like product very much thank you Bosch. Working very well it's 3 months usage review. And thank you Amazon I bought it for 24500 in offer.
775,2018-04-27,5,Great product and easy to operate.,"Not Happy with the Installation and demo, less knowlegiblal engineer came for demo. I search on internet and found how to operate. Though installation and demo didn't go well but I am Happy with the Product."
776,2020-11-16,5,Great value for money,Great value for money product
777,2017-06-18,3,Unsatisfied by installation.,Item is good and amazon delivery is awesome.Only one thing with which I am unsatisfied is the installation part. I was charged Rs. 350 for a small part.. either bosch should all the required part or they should give parts in correct rates. I checked the price of same product in amazon it's hardy Rs. 100
778,2019-08-23,5,Quiet and efficient,"Quiet machine, Reload option is great! Tried other washing option too..all good. Overall a lovely machine and i am glad i bought it."
779,2019-11-10,4,Nice,Quite good
780,2019-10-01,4,its working good.,its working good.
781,2019-11-20,4,Worth every penny,Excellent Product
782,2019-10-09,5,Awesome product from Bosch German technology,"Awesome product from Bosch,,, good NVH , less electricity required , good looking ,,,service from Bosch is very good ,,,,good to go everything"
783,2019-08-12,4,Excellent,Nice and cool performance
784,2020-03-07,5,Great product with multiple wash option and temp control,on time delivery and installation and demo was also on time.less water consumption and multiple washing options
785,2018-04-08,3,The machine is really good but please but it only when the water supply ...,The machine is really good but please but it only when the water supply or flow is fast... if incase you are on the second or third floor and the water pressure in not so fast then you will face a lot of problem.
786,2017-04-04,5,Awesome Buy,Great delivery and great performance of this washing machine. And the Bosch Technician is also very professional. Only advise to all the buyers if you are buying electronic or consumer durable product then see to it the seller is Cloudtail. You will get genuine and fresh manufactured product.
787,2020-08-10,5,Installation,We need a installation. Please do help us with that.
788,2021-01-05,5,Good,Very good
789,2017-03-30,4,Commissioning issues,Product and delivery were excellent.The person who came for commissioning was not very knowledgable or skilled.  I had to call another person to complete the task.
790,2019-08-08,4,Best,It is fully automatic😂
791,2019-11-16,4,Best val,Ok
792,2020-10-23,5,Worth for money,Worth for moneyGood wash quality
793,2019-08-29,4,Good product,Very less noise
794,2020-03-04,5,6 months review,"It is certainly easy to use, vibration is well controlled if you operate it at 600 rpm."
795,2020-11-26,5,Brand,Nice product to buy
796,2019-08-28,4,Easy to Use....Output - Clothes get cleaned.,Easy to use
797,2019-11-10,5,Value for money,Overall product is good. But it is giving more noise. Initially it didn’t but after 3 months it started giving noise
798,2019-01-22,4,Goodone,Cloth cleaning is quite ok except white one
799,2019-08-12,4,Go for it!,"Value for money, satisfied!"
800,2019-08-25,5,Excellent Service,Very fast delivery and the very next day after delivery service people came and installed and expalined the working and all procedures.
801,2019-12-16,4,Good,Good
802,2019-06-17,5,Value for money,Writing this review after 2 years of use. This product works the same as it worked on the first day. Must buy. Excellent one.
